Id,Time,Machine,Component,Parameter,Value
48,03-06-2022 08:09,Excavator_1,Engine,Temparature,110.1923657
5,12-05-2022 02:05,Articulated_Truck_1,Fuel,Water in Fuel,74.16793842
24,27-05-2022 06:25,Articulated_Truck_1,Engine,Temparature,110.1923657
23,12-05-2022 20:36,Backhoe_Loader_1,Drive,Transmission Pressure,244.7541968
42,28-06-2022 04:06,Excavator_1,Engine,Oil Pressure,41.32213712
44,15-06-2022 17:30,Dozer_1,Fuel,Temparature,227.8015252
37,25-06-2022 15:39,Backhoe_Loader_1,Fuel,Temparature,214.0274795
1,28-06-2022 01:17,Articulated_Truck_1,Drive,Brake Control,2.119083955
39,13-05-2022 03:23,Excavator_1,Drive,Pedal Sensor,4.803944684
26,09-06-2022 02:21,Articulated_Truck_1,Drive,Pedal Sensor,4.132213712
2,01-06-2022 21:02,Articulated_Truck_1,Misc,Exhaust Gas Temparature,201.3129757
34,06-05-2022 19:46,Excavator_1,Misc,Exhaust Gas Temparature,206.6106856
47,30-05-2022 09:02,Articulated_Truck_1,Drive,Brake Control,2.119083955
44,07-06-2022 20:54,Backhoe_Loader_1,Drive,Pedal Sensor,3.238423096
32,16-06-2022 19:53,Excavator_1,Misc,Air Filter Pressure,36.02442723
25,09-05-2022 10:36,Excavator_1,Misc,System Voltage,13.15024333
22,08-05-2022 10:33,Dozer_1,Misc,Exhaust Gas Temparature,351.7679365
9,10-05-2022 09:05,Dozer_1,Fuel,Water in Fuel,1393.2977
6,26-05-2022 15:48,Backhoe_Loader_1,Engine,Oil Pressure,54.03664085
20,08-05-2022 17:09,Articulated_Truck_1,Engine,Oil Pressure,58.27480876
47,08-06-2022 00:46,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,96.41831995
12,13-06-2022 09:02,Articulated_Truck_1,Engine,Speed,1425.08396
4,07-06-2022 03:43,Excavator_1,Drive,Transmission Pressure,278.6595401
42,27-06-2022 03:29,Excavator_1,Misc,Exhaust Gas Temparature,330.577097
5,23-06-2022 11:02,Articulated_Truck_1,Engine,Speed,1854.198461
45,11-05-2022 13:16,Excavator_1,Engine,Speed,1884.925178
33,20-05-2022 02:50,Backhoe_Loader_1,Drive,Pedal Sensor,5.045581481
14,12-05-2022 15:06,Backhoe_Loader_1,Fuel,Level,6.357251865
25,25-06-2022 11:08,Backhoe_Loader_1,Drive,Transmission Pressure,277.5999981
2,08-06-2022 20:46,Excavator_1,Misc,Exhaust Gas Temparature,322.1007612
7,03-06-2022 19:01,Articulated_Truck_1,Drive,Pedal Sensor,4.132213712
43,22-05-2022 11:05,Articulated_Truck_1,Engine,Speed,1684.671744
3,12-06-2022 06:40,Backhoe_Loader_1,Engine,Oil Pressure,31.78625932
3,06-06-2022 06:35,Backhoe_Loader_1,Drive,Pedal Sensor,5.114421763
47,28-05-2022 20:46,Articulated_Truck_1,Misc,Hydraulic Pump Rate,115.4900755
13,11-05-2022 03:11,Excavator_1,Drive,Transmission Pressure,426.9954169
1,07-05-2022 09:44,Dozer_1,Engine,Speed,1674.076324
34,27-06-2022 04:19,Excavator_1,Drive,Transmission Pressure,215.0870214
28,09-05-2022 15:57,Excavator_1,Fuel,Pressure,46.61984701
7,02-05-2022 15:33,Articulated_Truck_1,Fuel,Temparature,0
22,28-05-2022 05:24,Dozer_1,Engine,Oil Pressure,50.85801492
34,10-06-2022 23:04,Backhoe_Loader_1,Engine,Speed,1519.383196
